,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,0,ZA,1541181600,63,-33.93,18.42,64.4,12.75
1,Saint George,0,GR,1541181000,93,39.45,22.34,60.8,3.15
2,Ushuaia,75,AR,1541181600,43,-54.81,-68.31,51.8,17.22
3,Atuona,0,PF,1541185150,100,-9.8,-139.03,80.78,11.99
4,Harper,1,US,1541182500,34,30.3,-99.24,68.9,10.29
5,Pangnirtung,20,CA,1541181600,52,66.15,-65.72,15.8,3.36
6,Sindor,48,RU,1541185150,96,62.87,51.9,32.05,3.49
7,Rikitea,92,PF,1541185151,100,-23.12,-134.97,71.83,16.35
8,Severo-Kurilsk,48,RU,1541185151,92,50.68,156.12,41.45,20.83
9,Saint-Philippe,90,CA,1541182920,100,45.36,-73.48,41.0,12.75
10,Arraial do Cabo,75,BR,1541185200,69,-22.97,-42.02,80.6,4.7
11,Santa Isabel,75,CO,1541181600,74,4.71,-75.1,80.6,8.05
12,Kodiak,90,US,1541184780,71,39.95,-94.76,50.0,8.05
13,Shelburne,90,CA,1541183040,93,44.08,-80.2,41.0,5.82
14,Qaanaaq,0,GL,1541185152,100,77.48,-69.36,0.73,8.75
15,Butaritari,0,KI,1541185153,100,3.07,172.79,84.97,10.65
16,Punta Arenas,75,CL,1541181600,36,-53.16,-70.91,60.8,11.41
17,Busselton,44,AU,1541185153,100,-33.64,115.35,58.64,13.0
18,Buala,80,SB,1541185154,94,-8.15,159.59,81.23,9.98
19,Katsuura,0,JP,1541185154,100,33.93,134.5,49.37,4.61
20,Hilo,1,US,1541181360,63,19.71,-155.08,73.04,4.7
21,Upernavik,24,GL,1541185154,100,72.79,-56.15,19.63,2.37
22,New Norfolk,40,AU,1541183400,75,-42.78,147.06,44.6,19.46
23,Tshikapa,44,CD,1541185155,89,-6.42,20.79,75.47,3.27
24,Mataura,80,NZ,1541185155,69,-46.19,168.86,61.21,21.27
25,Lerwick,48,GB,1541182800,86,60.15,-1.15,46.4,11.41
26,Kapaa,40,US,1541181360,74,22.08,-159.32,80.06,12.75
27,Salina Cruz,12,MX,1541185156,68,16.18,-95.2,85.51,8.41
28,Yellowknife,90,CA,1541183280,92,62.45,-114.38,26.6,10.29
29,Barrow,92,AR,1541185038,98,-38.31,-60.23,51.4,17.25
30,Rorvik,75,NO,1541182800,100,64.86,11.24,42.8,8.05
31,Provideniya,76,RU,1541185156,100,64.42,-173.23,36.77,21.72
32,Mar del Plata,32,AR,1541185157,49,-46.43,-67.52,62.42,13.44
33,Hit,44,IQ,1541185157,55,33.64,42.83,59.32,2.59
34,Saldanha,12,PT,1541185157,83,41.42,-6.55,54.14,3.6
35,Bredasdorp,0,ZA,1541181600,72,-34.53,20.04,62.6,19.46
36,Albany,90,US,1541184720,96,42.65,-73.75,62.06,4.7
37,Luderitz,12,NA,1541185158,72,-26.65,15.16,61.07,3.94
38,Jamestown,0,AU,1541184992,86,-33.21,138.6,52.52,7.29
39,Donskoye,0,RU,1541181600,70,45.45,41.98,44.6,24.61
40,Dukat,20,RS,1541185158,83,42.44,22.31,56.75,1.36
41,Byron Bay,0,AU,1541183400,72,-28.65,153.62,68.0,9.17
42,Hammerfest,0,NO,1541182800,97,70.66,23.68,42.8,20.8
43,Rajampet,48,IN,1541185159,96,14.19,79.16,73.27,2.59
44,Oranjestad,40,AW,1541181600,66,12.52,-70.03,87.8,21.92
45,Tongliao,0,CN,1541185159,61,43.61,122.27,49.15,14.45
46,Hithadhoo,88,MV,1541185160,100,-0.6,73.08,82.49,12.77
47,Chenghai,90,CN,1541181600,93,23.46,116.77,66.2,20.49
48,Bluff,0,AU,1541185160,94,-23.58,149.07,61.43,5.39
49,Tuktoyaktuk,90,CA,1541181600,92,69.44,-133.03,12.2,8.05
50,Ondangwa,0,NA,1541185161,23,-17.91,15.98,81.32,3.15
51,Pinega,56,RU,1541185161,96,64.7,43.39,30.2,2.82
52,Puerto Ayora,75,EC,1541181600,65,-0.74,-90.35,77.0,9.17
53,Dakar,0,SN,1541181600,74,14.69,-17.45,80.6,6.93
54,Along,64,IN,1541185161,82,28.17,94.8,59.54,2.04
